timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T13:02:26.053369,983.4,983.32,983.47,-1,2.84,2.91
2025-12-19T13:02:27.111031,983.35,983.3,983.43,-1,2.84,2.96
2025-12-19T13:02:28.169811,983.35,983.3,983.43,0,3.01,3.01
2025-12-19T13:02:29.223999,983.25,983.2,983.29,0,3.01,3.01
2025-12-19T13:02:30.280102,983.15,983.12,983.17,0,3.01,3.01
2025-12-19T13:02:31.336853,983.1,983.06,983.13,0,3.01,3.01
2025-12-19T13:02:32.393730,983.1,983.06,983.13,1,3.01,3.05
2025-12-19T13:02:33.451672,983.05,982.99,983.06,1,3.01,3.0
2025-12-19T13:02:34.507467,983.05,982.98,983.07,1,3.01,3.0
2025-12-19T13:02:35.564648,983.05,982.98,983.07,1,3.01,3.0
2025-12-19T13:02:36.617642,983.05,982.97,983.08,1,3.01,3.0
2025-12-19T13:02:37.674906,983.05,982.97,983.08,1,3.01,3.0
2025-12-19T13:02:38.731274,983.05,982.97,983.08,1,3.01,3.0
2025-12-19T13:02:39.789718,983.05,982.97,983.08,1,3.01,3.0
2025-12-19T13:02:40.847036,983.05,982.97,983.08,1,3.01,3.0
2025-12-19T13:02:41.903864,983.05,982.98,983.07,1,3.01,3.0
2025-12-19T13:02:42.961161,983.1,983.03,983.12,2,3.01,3.12
2025-12-19T13:02:44.025515,983.25,983.15,983.26,1,3.225,3.43
2025-12-19T13:02:45.079661,983.25,983.17,983.28,1,3.225,3.43
2025-12-19T13:02:46.131611,983.2,983.13,983.22,1,3.225,3.38
2025-12-19T13:02:47.188252,983.2,983.13,983.22,2,3.225,3.45
2025-12-19T13:02:48.243861,983.15,983.07,983.14,2,3.225,3.35
2025-12-19T13:02:49.301570,983.1,983.03,983.08,2,3.225,3.25
2025-12-19T13:02:50.361159,983.1,983.03,983.08,2,3.225,3.25
2025-12-19T13:02:51.415566,983.2,983.11,983.2,3,3.225,3.54
2025-12-19T13:02:52.474445,983.2,983.1,983.17,4,3.225,3.64
2025-12-19T13:02:53.536394,983.2,983.08,983.15,4,3.225,3.64
2025-12-19T13:02:54.594882,983.15,983.04,983.09,3,3.21875,3.38
2025-12-19T13:02:55.648374,983.25,983.12,983.25,3,3.21875,3.68
2025-12-19T13:02:56.707987,983.25,983.12,983.25,2,3.3725,3.68
2025-12-19T13:02:57.768460,983.25,983.14,983.27,2,3.3725,3.68
2025-12-19T13:02:58.823245,983.35,983.22,983.39,2,3.3725,3.88
2025-12-19T13:02:59.881556,983.15,983.06,983.15,2,3.3725,3.48
2025-12-19T13:03:00.942246,983.15,983.06,983.15,2,3.3725,3.48
2025-12-19T13:03:02.002861,983.15,983.06,983.15,1,3.42625,3.48
2025-12-19T13:03:03.063802,983.1,983.02,983.13,0,3.46,3.46
2025-12-19T13:03:04.124568,983.15,983.1,983.19,1,3.46,3.51
2025-12-19T13:03:05.184118,983.15,983.08,983.17,1,3.46,3.51
2025-12-19T13:03:06.243420,983.05,982.99,983.06,1,3.46,3.41
2025-12-19T13:03:07.302959,983.05,982.99,983.06,1,3.46,3.41
2025-12-19T13:03:08.366989,983.05,982.98,983.07,1,3.46,3.41
2025-12-19T13:03:09.428189,983.05,982.97,983.08,1,3.46,3.41
2025-12-19T13:03:10.489256,983.05,982.97,983.08,1,3.46,3.41
2025-12-19T13:03:11.549797,982.9,982.74,983.01,1,3.46,3.26
2025-12-19T13:03:12.615261,982.9,982.73,983.02,1,3.46,3.26
2025-12-19T13:03:13.674286,982.9,982.73,983.02,1,3.46,3.26
2025-12-19T13:03:14.735134,982.9,982.73,983.02,1,3.46,3.26
2025-12-19T13:03:15.797372,982.9,982.73,983.02,1,3.46,3.26
2025-12-19T13:03:16.855203,982.85,982.69,982.96,1,3.46,3.21
2025-12-19T13:03:17.915055,982.95,982.77,983.08,1,3.46,3.31
2025-12-19T13:03:19.004136,982.9,982.73,983.02,1,3.46,3.26
2025-12-19T13:03:20.164542,982.9,982.74,983.01,1,3.46,3.26
2025-12-19T13:03:21.268138,982.9,982.74,983.01,1,3.46,3.26
2025-12-19T13:03:22.422018,982.9,982.74,983.01,1,3.46,3.26
2025-12-19T13:03:23.494404,982.9,982.74,983.01,1,3.46,3.26
2025-12-19T13:03:24.559019,982.9,982.75,983.0,0,3.36,3.36
2025-12-19T13:03:25.622117,982.9,982.76,983.03,0,3.36,3.36
2025-12-19T13:03:26.678621,982.95,982.81,983.08,0,3.36,3.36
2025-12-19T13:03:27.736466,982.95,982.81,983.08,0,3.36,3.36
2025-12-19T13:03:28.800042,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:29.858623,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:30.918274,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:31.977460,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:33.037276,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:34.096853,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:35.156227,982.9,982.77,983.02,0,3.36,3.36
2025-12-19T13:03:36.219023,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:37.275134,982.9,982.79,983.0,0,3.36,3.36
2025-12-19T13:03:38.341075,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:39.402921,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:40.463838,982.9,982.79,983.0,0,3.36,3.36
2025-12-19T13:03:41.523888,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:42.588598,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:43.643675,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:44.703164,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:45.763152,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:46.821427,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:47.918376,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:48.980912,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:50.043431,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:51.104152,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:52.160055,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:53.220273,982.95,982.83,983.06,0,3.36,3.36
2025-12-19T13:03:54.280487,982.95,982.84,983.05,0,3.36,3.36
2025-12-19T13:03:55.338756,982.95,982.84,983.05,0,3.36,3.36
2025-12-19T13:03:56.400085,982.9,982.8,982.99,0,3.36,3.36
2025-12-19T13:03:57.461745,982.95,982.84,983.05,0,3.36,3.36
2025-12-19T13:03:58.519861,982.95,982.88,983.01,0,3.36,3.36
2025-12-19T13:03:59.580028,982.95,982.88,983.01,0,3.36,3.36
2025-12-19T13:04:00.639640,982.95,982.88,983.01,0,3.36,3.36
2025-12-19T13:04:01.699483,982.95,982.88,983.01,0,3.36,3.36
2025-12-19T13:04:02.769363,982.95,982.87,983.02,0,3.36,3.36
2025-12-19T13:04:03.826783,982.95,982.87,983.02,0,3.36,3.36
2025-12-19T13:04:04.897413,982.95,982.89,983.0,0,3.36,3.36
